AGENT,CATEGORY,ISSUE_TYPE,PAGE_URL,ELEMENT,MESSAGE,SEVERITY,RECOMMENDATION,CONFIDENCE,REQUIRES_REVIEW
altText,Detection,Missing Alt Attribute,https://asuonline.asu.edu/degree-program-request-info-thank-you/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/download-solid_0.svg"">","Image is missing an alt attribute, preventing assistive technologies from conveying its purpose.",high,"If this image is decorative, use alt="""" so screen readers ignore it.",medium,false
altText,Detection,Missing Alt Attribute,https://asuonline.asu.edu/degree-program-request-info-thank-you/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/phone-solid.svg"">","Image is missing an alt attribute, preventing assistive technologies from conveying its purpose.",high,"If this image is decorative, use alt="""" so screen readers ignore it.",medium,false
altText,Detection,Missing Alt Attribute,https://asuonline.asu.edu/degree-program-request-info-thank-you/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/comments-solid.svg"">","Image is missing an alt attribute, preventing assistive technologies from conveying its purpose.",high,"If this image is decorative, use alt="""" so screen readers ignore it.",medium,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/what-it-costs/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2021-08/wic_tc_image_4.jpeg"" alt=""tuition calculator placeholder image"">","Image uses a generic placeholder ""tuition calculator placeholder image"" as alt text, which provides no value to screen reader users.",medium,"Describe the key information shown in the image related to ""ASU Online tuition calculator"".",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/about-us/accreditation/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-09/22%20-%20Accreditation%20-%20Licensure.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""State authorization"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/about-us/accreditation/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-09/12%20-%20About-Accreditation.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""State authorization"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/about-us/accreditation/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-09/22%20-%20Accreditation%20-%20Licensure.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""State authorization"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/about-us/accreditation/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-09/12%20-%20About-Accreditation.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""State authorization"" section.",low,true
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/about-us/faculty/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-10/ASUO-Faculty-page-Join-our-faculty-image.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Join our faculty"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/about-us/faculty/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-10/ASUO-Faculty-page-Join-our-faculty-image.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Join our faculty"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/about-us/faculty/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-10/ASUO-Faculty-page-Join-our-faculty-image.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Join our faculty"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/about-us/faculty/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-10/ASUO-Faculty-page-Join-our-faculty-image.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Join our faculty"" section.",low,true
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/first-time-freshman-registration-rules/,"<img src=""/_nuxt/sun-devil-parallax.rwC1RDYe.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Questions about your schedule?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/first-time-freshman-registration-rules/,"<img src=""/_nuxt/sun-devil-parallax.rwC1RDYe.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Questions about your schedule?"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/first-time-freshman-registration-rules/,"<img src=""/_nuxt/sun-devil-parallax.rwC1RDYe.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Questions about your schedule?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/first-time-freshman-registration-rules/,"<img src=""/_nuxt/sun-devil-parallax.rwC1RDYe.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Questions about your schedule?"" section.",low,true
altText,Detection,Missing Alt Attribute,https://asuonline.asu.edu/degree-program-request-info-thank-you/undergrad/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/phone-solid.svg"">","Image is missing an alt attribute, preventing assistive technologies from conveying its purpose.",high,"If this image is decorative, use alt="""" so screen readers ignore it.",medium,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/students/community/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-09/13%20-%20Student%20Experience%20-%20Online%20student%20community.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Lifelong connections"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/students/community/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-09/13%20-%20Student%20Experience%20-%20Online%20student%20community.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Lifelong connections"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/students/community/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-09/13%20-%20Student%20Experience%20-%20Online%20student%20community.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Lifelong connections"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/students/community/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-09/13%20-%20Student%20Experience%20-%20Online%20student%20community.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Lifelong connections"" section.",low,true
altQuality,Analysis,TOO LONG,https://asuonline.asu.edu/students/courses/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2024-06/ASUO-Academic-Calendar-Infographic.jpg"" alt=""A timeline showing online class structure for spring, summer and fall. In spring and fall, classes are 7.5 weeks and can be taken during session A or B. Summer classes are 6 weeks with session A or B options. Students take 1-2 courses each session. "">",Alt text quality issue: too long,low,Alt text is too long. Keep it concise. Use aria-describedby for extended descriptions if needed.,low,true
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/arts-culture-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/200319-Virtual-Teaching-4820-JO.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in humanities and arts?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/arts-culture-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/Rios-Story-Days-6.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in humanities and arts?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/arts-culture-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/arts-culture-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/arts-culture-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/200319-Virtual-Teaching-4820-JO.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in humanities and arts?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/arts-culture-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/Rios-Story-Days-6.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in humanities and arts?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/arts-culture-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/arts-culture-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/business-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/FJG-ASU19-3532.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in business?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/business-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/ASU_Industrious_Feb2020-1559.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in business?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/business-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/business-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/business-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/FJG-ASU19-3532.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in business?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/business-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/ASU_Industrious_Feb2020-1559.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in business?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/business-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/business-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/health-and-nursing/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/20190217VivaMaryvale_18.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in health and nursing?"" section.",high,false
